first_column,Northeast,Midwest,South,West,Year
" <$200,000 ",22,109,300,100,2002
" >$200,000 ",17,48,90,91,2002
" >$300,000 ",20,22,49,62,2002
" >$500,000 ",6 ,5 ,11 ,21,2002
" <$200,000 ",22 ,107 ,326 ,105 ,2003
" >$200,000 ",25 ,48 ,108 ,80 ,2003
" >$300,000 ",25 ,28 ,58 ,86 ,2003
" >$500,000 ",9 ,6 ,20 ,34 ,2003
" <$200,000 ",13 ,100 ,317 ,92,2004
" >$200,000 ",26 ,61 ,129 ,96,2004
" >$300,000 ",30 ,39 ,80 ,106,2004
" >$500,000 ",14 ,10 ,35 ,53,2004
" <$200,000 ",11 ,87 ,325 ,49,2005
" >$200,000 ",21 ,69 ,162 ,99,2005
" >$300,000 ",32 ,40 ,106 ,137,2005
" >$500,000 ",17 ,9 ,45 ,73,2005
" <$200,000 ",9 ,73 ,263 ,25,2006
" >$200,000 ",15 ,49 ,158 ,79,2006
" >$300,000 ",24 ,29 ,100 ,104,2006
" >$500,000 ",14 ,10 ,38 ,60,2006
" <$200,000 ",13 ,55 ,179 ,22,2007
" >$200,000 ",16 ,37 ,120 ,54,2007
" >$300,000 ",21 ,18 ,83 ,64,2007
" >$500,000 ",15 ,8 ,30 ,41,2007
" <$200,000 ",3 ,35 ,128 ,16,2008
" >$200,000 ",10 ,21 ,76 ,42,2008
" >$300,000 ",12 ,10 ,45 ,38,2008
" >$500,000 ",9 ,4 ,17 ,18,2008
" <$200,000 ",5 ,30 ,106 ,21,2009
" >$200,000 ",10 ,15 ,55 ,34,2009
" >$300,000 ",9 ,6 ,30 ,24,2009
" >$500,000 ",7 ,2 ,11 ,9,2009
" <$200,000 ",5 ,23 ,88 ,18,2010
" >$200,000 ",8 ,15 ,46 ,28,2010
" >$300,000 ",11 ,6 ,29 ,19,2010
" >$500,000 ",7 ,2 ,10 ,8,2010
" <$200,000 ",2 ,22 ,76 ,17,2011
" >$200,000 ",7 ,13 ,50 ,29,2011
" >$300,000 ",7 ,8 ,32 ,20,2011
" >$500,000 ",4 ,2 ,10 ,6,2011
" <$200,000 ",4 ,18 ,81 ,17,2012
" >$200,000 ",7 ,16 ,56 ,41,2012
" >$300,000 ",11 ,10 ,46 ,29,2012
" >$500,000 ",6 ,3 ,12 ,10,2012
" <$200,000 ",3 ,17 ,80 ,13,2013
" >$200,000 ",7 ,22 ,73 ,37,2013
" >$300,000 ",11 ,16 ,58 ,40,2013
" >$500,000 ",9 ,6 ,22 ,15,2013
" <$200,000 ",2 ,16 ,73 ,9,2014
" >$200,000 ",7 ,20 ,79 ,35,2014
" >$300,000 ",8 ,17 ,66 ,44,2014
" >$500,000 ",10 ,6 ,25 ,20,2014
" <$200,000 ",2 ,13 ,69 ,11,2015
" >$200,000 ",4 ,22 ,99 ,40,2015
" >$300,000 ",9 ,19 ,84 ,54,2015
" >$500,000 ",9 ,6 ,33 ,26,2015
