hpi_type,frequency,level,place_name,place_id,yr,period,index_nsa
traditional,quarterly,State,Alaska,AK,1975,1,62.74
traditional,quarterly,State,Alaska,AK,1975,2,63.43
traditional,quarterly,State,Alaska,AK,1975,3,66.61
traditional,quarterly,State,Alaska,AK,1975,4,67.91
traditional,quarterly,State,Alaska,AK,1976,1,70.56
traditional,quarterly,State,Alaska,AK,1976,2,71.87
traditional,quarterly,State,Alaska,AK,1976,3,72.33
traditional,quarterly,State,Alaska,AK,1976,4,73.9
traditional,quarterly,State,Alaska,AK,1977,1,80.37
traditional,quarterly,State,Alaska,AK,1977,2,73.55
traditional,quarterly,State,Alaska,AK,1977,3,79.91
traditional,quarterly,State,Alaska,AK,1977,4,79.01
traditional,quarterly,State,Alaska,AK,1978,1,77.11
traditional,quarterly,State,Alaska,AK,1978,2,86.4
traditional,quarterly,State,Alaska,AK,1978,3,87.39
traditional,quarterly,State,Alaska,AK,1978,4,87.19
traditional,quarterly,State,Alaska,AK,1979,1,89.65
traditional,quarterly,State,Alaska,AK,1979,2,99.09
traditional,quarterly,State,Alaska,AK,1979,3,95.32
traditional,quarterly,State,Alaska,AK,1979,4,95.15
traditional,quarterly,State,Alaska,AK,1980,1,100
traditional,quarterly,State,Alaska,AK,1980,2,81.31
traditional,quarterly,State,Alaska,AK,1980,3,70.2
traditional,quarterly,State,Alaska,AK,1980,4,92.45
traditional,quarterly,State,Alaska,AK,1981,1,91.2
traditional,quarterly,State,Alaska,AK,1981,2,107.98
traditional,quarterly,State,Alaska,AK,1981,3,115.45
traditional,quarterly,State,Alaska,AK,1981,4,127.79
traditional,quarterly,State,Alaska,AK,1982,1,134.99
traditional,quarterly,State,Alaska,AK,1982,2,129.5
traditional,quarterly,State,Alaska,AK,1982,3,139.85
traditional,quarterly,State,Alaska,AK,1982,4,138.72
traditional,quarterly,State,Alaska,AK,1983,1,137.84
traditional,quarterly,State,Alaska,AK,1983,2,139.24
traditional,quarterly,State,Alaska,AK,1983,3,144.28
traditional,quarterly,State,Alaska,AK,1983,4,145.43
traditional,quarterly,State,Alaska,AK,1984,1,148.91
traditional,quarterly,State,Alaska,AK,1984,2,146.9
traditional,quarterly,State,Alaska,AK,1984,3,153.04
traditional,quarterly,State,Alaska,AK,1984,4,151.12
traditional,quarterly,State,Alaska,AK,1985,1,143.96
traditional,quarterly,State,Alaska,AK,1985,2,144.22
traditional,quarterly,State,Alaska,AK,1985,3,144.56
traditional,quarterly,State,Alaska,AK,1985,4,140.94
traditional,quarterly,State,Alaska,AK,1986,1,141.61
traditional,quarterly,State,Alaska,AK,1986,2,143.83
traditional,quarterly,State,Alaska,AK,1986,3,139.32
traditional,quarterly,State,Alaska,AK,1986,4,135.93
traditional,quarterly,State,Alaska,AK,1987,1,132.64
traditional,quarterly,State,Alaska,AK,1987,2,123.75
